radius_m,flux_radius_m,phi_rad,theory_delta_R_per_alpha_m,fit_delta_R_per_alpha_m,theory_delta_Z_per_alpha_m,fit_delta_Z_per_alpha_m
0.01486784368355039,0.01486784368355039,0.4295146206079795,0.002246076578317111,-0.00010531866170679366,0.0004736192079610991,-4.667127460721996e-05
0.01486784368355039,0.01486784368355039,0.44178646691106466,0.0022558677869695936,-0.00010387579143838735,0.0004865525074225095,-4.6189149003918465e-05
0.01486784368355039,0.01486784368355039,0.4540583132141498,0.0022660450930510534,-0.00010233479815278269,0.0004993846484211067,-4.555947579640998e-05
0.01486784368355039,0.01486784368355039,0.4663301595172349,0.002276222399132513,-0.00010068928567628365,0.0005122167894197039,-4.478134950661781e-05
0.01486784368355039,0.01486784368355039,0.47860200582032003,0.00228718957285653,-9.893359796285777e-05,0.0005247990557596081,-4.385447782836361e-05
0.01486784368355039,0.01486784368355039,0.4908738521234052,0.002298172703502619,-9.706293358106766e-05,0.0005373762741266095,-4.277918523192934e-05
0.01486784368355039,0.01486784368355039,0.5031456984264903,0.0023095178217140255,-9.507341618674287e-05,0.0005498167054452088,-4.155640902037732e-05
0.01486784368355039,0.01486784368355039,0.5154175447295755,0.00232131341334005,-9.296211902897824e-05,0.0005620869128813525,-4.0187689152995975e-05
0.01486784368355039,0.01486784368355039,0.5276893910326605,0.0023331090049660747,-9.072704419030391e-05,0.000574357120317496,-3.867515335751901e-05
0.01486784368355039,0.01486784368355039,0.5399612373357456,0.0023456469234983492,-8.836705993767013e-05,0.0005862950232723909,-3.702149914007046e-05
0.01486784368355039,0.01486784368355039,0.5522330836388308,0.002358257460967105,-8.588180202080118e-05,0.0005982004181802071,-3.5229974343299284e-05
0.01486784368355039,0.01486784368355039,0.5645049299419159,0.002371173672934383,-8.327154678501383e-05,0.0006099446796733035,-3.3304357787524256e-05
0.01486784368355039,0.01486784368355039,0.5767767762450011,0.002384596661043948,-8.05370657912715e-05,0.0006214217989262067,-3.1248941388414626e-05
0.01486784368355039,0.01486784368355039,0.5890486225480862,0.002398019649153513,-7.767947219578363e-05,0.0006328989181791099,-2.9068514866166855e-05
0.01486784368355039,0.01486784368355039,0.6013204688511713,0.002412119376929152,-7.470007026722566e-05,0.0006439575605011417,-2.6768353883762075e-05
0.01486784368355039,0.01486784368355039,0.6135923151542565,0.0024263464909948756,-7.160021836346509e-05,0.0006549374306950096,-2.4354212051039516e-05
0.01486784368355039,0.01486784368355039,0.6258641614573416,0.002440815808640387,-6.838121577137403e-05,0.0006657418986099413,-2.1832316905721913e-05
0.01486784368355039,0.01486784368355039,0.6381360077604268,0.002455832037595097,-6.504422123896077e-05,0.0006761502968627597,-1.920936955980632e-05
0.01486784368355039,0.01486784368355039,0.6504078540635119,0.0024708482665498064,-6.159021032524516e-05,0.0006865586951155779,-1.649254734764376e-05
0.01486784368355039,0.01486784368355039,0.662679700366597,0.0024864564996278714,-5.801997516249207e-05,0.0006964646771100637,-1.368950847478527e-05
0.01486784368355039,0.01486784368355039,0.6749515466696822,0.0025022392980243616,-5.43341686060923e-05,0.0007062225107206825,-1.0808397394526652e-05
0.01486784368355039,0.01486784368355039,0.6872233929727672,0.0025181969091136874,-5.053339131143403e-05,0.0007158059235939926,-7.8578494232693e-06
0.01486784368355039,0.01486784368355039,0.6994952392758523,0.002534715377592528,-4.661831825632696e-05,0.0007248297366017715,-4.846992941111821e-06
0.01486784368355039,0.01486784368355039,0.7117670855789375,0.0025512338460713683,-4.258985814902933e-05,0.0007338535496095506,-1.7854475036516482e-06
0.01486784368355039,0.01486784368355039,0.7240389318820226,0.0025682413348815138,-3.8449337507653285e-05,0.0007423000832850307,1.316683820864705e-06
0.01486784368355039,0.01486784368355039,0.7363107781851077,0.0025854554520006613,-3.419869946581971e-05,0.0007505026961158774,4.448829452330126e-06
0.01486784368355039,0.01486784368355039,0.7485826244881929,0.002602778270588003,-2.9840705865596675e-05,0.0007585519172820527,7.599973030714402e-06
0.01486784368355039,0.01486784368355039,0.760854470791278,0.002620638202312305,-2.53791311912145e-05,0.000765843203163969,1.0758687037435187e-05
0.01486784368355039,0.01486784368355039,0.7731263170943632,0.0026384981340366073,-2.0818936625351255e-05,0.0007731344890458855,1.3913177141047364e-05
0.01486784368355039,0.01486784368355039,0.7853981633974483,0.0026567291293864395,-1.6166413607280147e-05,0.0007797899018281794,1.705133778621757e-05
0.01486784368355039,0.01486784368355039,0.7976700097005334,0.0026751746458947815,-1.1429287184074326e-05,0.0007860777004747542,2.016081917791826e-05
